Designator,Footprint,Quantity,Value,LCSC Part #
"R1, R2, R3, R4, R5, R6",0.4_pitch_resistor,6,1k,
"U1, U14, U15, U16, U17, U2, U20, U21, U22, U23, U3, U4",DIP-16_W7.62mm,12,~,
"U10, U11",DIP-28_W15.24mm,2,~,
"U12, U18, U26, U29, U30, U6, U7, U8, U9",DIP-20_W7.62mm,9,~,
"U13, U19, U24, U25, U27, U28, U31, U47",DIP-14_W7.62mm,8,~,
U32,PinHeader_1x08_P2.54mm_Vertical,1,~,
U33,PinHeader_1x16_P2.54mm_Vertical,1,~,
"U34, U35, U36, U37, U38, U39, U40, U41, U42, U43, U44, U45, U46",jumper,13,~,
U5,PinHeader_1x23_P2.54mm_Vertical,1,~,
