Designator,Footprint,Quantity,Value,LCSC Part #
"R1, R2, R3, R4, R5",0.4_pitch_resistor,5,10k,
U1,PinHeader_1x23_P2.54mm_Vertical,1,~,
"U10, U11, U12, U13, U16, U9",DIP-14_W7.62mm,6,~,
"U14, U15",jumper,2,~,
"U2, U3, U5, U6",DIP-20_W7.62mm,4,~,
"U4, U7",PinHeader_1x16_P2.54mm_Vertical,2,~,
