Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.50mm,1,C,
"D1, D2, D3, D4, D5",LED_D4.0mm,5,LED,
"R1, R2, R3, R4, R5",0.4_pitch_resistor,5,R,
U1,PinHeader_1x07_P2.54mm_Vertical,1,~,
"U2, U3, U4, U5",DIP-14_W7.62mm,4,~,
