Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_Tantal_D5.0mm_P5.00mm,1,C,
"R1, R2, R3, R4, R5, R6, R7, R8",0.4_pitch_resistor,8,R,
"R10, R11, R12, R9",0.4_pitch_resistor,4,1k,
U1,PinHeader_1x23_P2.54mm_Vertical,1,~,
"U10, U11, U13, U14, U17, U4, U5, U6, U9",DIP-14_W7.62mm,9,~,
"U12, U15, U16, U18, U20, U21",jumper,6,~,
"U19, U2, U3",DIP-16_W7.62mm,3,~,
"U7, U8",PinHeader_1x03_P2.54mm_Vertical,2,~,
