Designator,Footprint,Quantity,Value,LCSC Part #
"R1, R2, R3, R4, R5",0.4_pitch_resistor,5,10k,
U1,PinHeader_1x04_P2.54mm_Vertical,1,~,
"U10, U11, U12, U18, U19, U21, U23, U24, U25, U27, U28, U39, U40, U41, U42, U50, U51, U52, U53, U54, U9",DIP-14_W7.62mm,21,~,
"U13, U15, U30, U31, U32, U33, U34, U35, U36, U37, U7, U8",DIP-16_W7.62mm,12,~,
"U14, U16, U17, U20, U22, U26, U29, U38, U4, U43, U44, U45, U5, U6",DIP-20_W7.62mm,14,~,
U2,PinHeader_1x23_P2.54mm_Vertical,1,~,
U3,PinHeader_1x30_P2.54mm_Horizontal,1,~,
"U46, U47, U48, U49",jumper,4,~,
