Designator,Footprint,Quantity,Value,LCSC Part #
D1,D_A-405_P7.62mm_Horizontal,1,D,
"R1, R10, R2, R3, R4, R5, R6, R7, R8, R9",0.4_pitch_resistor,10,10k,
"U1, U7",DIP-32_W15.24mm,2,~,
"U10, U11, U13, U14, U16, U21, U5, U8",DIP-20_W7.62mm,8,~,
"U12, U32, U33, U38, U4, U6, U9",DIP-14_W7.62mm,7,~,
"U15, U17, U18, U20, U22, U23, U24, U25",jumper,8,~,
U19,PinHeader_1x16_P2.54mm_Vertical,1,~,
U2,PinHeader_1x39_P2.54mm_Vertical,1,~,
U3,PinHeader_1x10_P2.54mm_Horizontal,1,~,
